Year,Title,Worldwide_Gross_2022,Major Genre
1990,Ghost,1311809439,Drama
1991,Terminator 2: Judgment Day,1268149578,Action
1992,Aladdin,1191475788,Comedy
1993,Jurassic Park,2111464986,Action
1994,The Lion King,1736985815,Adventure
1995,Die Hard: With a Vengeance,770336405,Action
1996,Independence Day,1653392402,Adventure
1997,Titanic,3607405543,Thriller/Suspense
1998,Armageddon,1054816675,Adventure
1999,Star Wars Ep. I: The Phantom Menace,1710828466,Adventure
2000,Mission: Impossible 2,994401852,Action
2001,Harry Potter and the Sorcerer's Stone,1744162575,Adventure
2002,The Lord of the Rings: The Two Towers,1619004379,Adventure
2003,The Lord of the Rings: The Return of the King,1947411227,Adventure
2004,Shrek 2,1553163979,Adventure
2005,Harry Potter and the Goblet of Fire,1481412097,Adventure
2006,Pirates of the Caribbean: Dead Man's Chest,1718126181,Adventure
2007,Pirates of the Caribbean: At World's End,1508373758,Adventure
2008,The Dark Knight,1555489299,Action
2009,Avatar,3963597110,Action
2010,Toy Story 3,1468420906,Adventure
